Date,Ally,Varo,SoFi,Chime
6/26/2022,4.4,2.1,-,11.5
6/27/2022,11.1,3.4,-,15.3
6/28/2022,4,3.1,-,11.4
6/29/2022,9.4,0,-,9.3
6/30/2022,5.5,1.1,-,22.1
7/1/2022,6.4,0,-,9.8
7/2/2022,7.3,2.3,-,11.4
7/3/2022,6.7,0,-,14.2
7/4/2022,8,1.3,-,12
7/5/2022,3.2,1.7,-,11.4
7/6/2022,8.3,0,-,3.3
7/7/2022,6.2,4.8,-,22.3
7/8/2022,6.8,0,-,10
7/9/2022,7.5,2.6,-,16.2
7/10/2022,13.1,6.6,-,12.4
7/11/2022,3.8,2.4,-,17.7
7/12/2022,5.9,4,-,8.2
7/13/2022,3.7,0,-,10.9
7/14/2022,5.1,0.8,-,4.4
7/15/2022,6.2,0,-,21
7/16/2022,5.3,2.3,-,9.8
7/17/2022,1.8,0,-,7.8
7/18/2022,7.3,4.7,-,11.6
7/19/2022,3.8,1.4,-,9.5
7/20/2022,3.5,0,-,10.3
7/21/2022,8.5,0,-,11.2
7/22/2022,2.2,0,-,12.4
7/23/2022,4.2,1,-,9.6
7/24/2022,6.9,2.7,-,8.7
7/25/2022,5.6,0.9,-,13.9
7/26/2022,6.5,0,-,12.2
7/27/2022,8.1,0,-,14.8
7/28/2022,9.3,0.8,-,19.8
7/29/2022,8.1,3.1,-,18.3
7/30/2022,8.7,1.4,-,15.3
7/31/2022,6,4.2,-,18.3
8/1/2022,4.2,0,-,21.5
8/2/2022,9.6,0.8,-,15.1
8/3/2022,5.3,1.1,-,9.4
8/4/2022,7.7,0,-,17.2
8/5/2022,8.9,4.2,-,18.1
8/6/2022,4.5,0.9,-,9.7
8/7/2022,2.7,0,-,16.6
8/8/2022,5.1,0,-,6.9
8/9/2022,10.5,0,-,15.9
8/10/2022,3.5,2.5,-,7.6
8/11/2022,7.8,0.8,-,9.5
8/12/2022,2.4,1.4,-,11.4
8/13/2022,3.5,4.5,-,13.2
8/14/2022,3.4,1.9,-,17.4
8/15/2022,5.9,3.1,-,15.1
8/16/2022,3.6,2.7,-,18.3
8/17/2022,4.6,0.8,-,17.6
8/18/2022,10.7,2.5,-,7.6
8/19/2022,4.7,0,-,14.6
8/20/2022,5.2,5.2,-,20.7
8/21/2022,7.8,3.4,-,17.3
8/22/2022,4.4,0,-,16.6
8/23/2022,5.1,3.7,-,13.1
8/24/2022,2.5,0,-,14.5
8/25/2022,13.6,1,-,18.1
8/26/2022,6.7,0,-,15.8
8/27/2022,3.2,0.9,-,15.4
8/28/2022,10.5,0,-,18.4
8/29/2022,8.1,2.1,-,18.1
8/30/2022,2.9,0,-,11.6
8/31/2022,8.1,0,-,16.5
9/1/2022,6.3,0,-,15.5
9/2/2022,5.7,1,-,10.2
9/3/2022,3.6,0.8,-,12.6
9/4/2022,9.5,0,-,14.1
9/5/2022,3.9,0,-,14.7
9/6/2022,10.5,3.1,-,11.4
9/7/2022,9.3,4,-,24.3
9/8/2022,7.5,0,-,10.3
9/9/2022,7.3,0,-,18.6
9/10/2022,6.8,0.9,-,14.9
9/11/2022,8.5,3.4,-,6.9
9/12/2022,2.6,1.8,-,12.4
9/13/2022,8.8,2.9,-,12.5
9/14/2022,5.5,3.5,-,28.4
9/15/2022,6.2,10.5,-,18.3
9/16/2022,4.6,2.6,-,13.5
9/17/2022,10.4,0,-,8.6
9/18/2022,3.2,3.7,-,11.5
9/19/2022,4.2,4,-,20.4
9/20/2022,9.7,2.3,-,10.2
9/21/2022,4.3,1.9,-,10.9
9/22/2022,6.4,0,-,17
9/23/2022,4.8,0,-,9.5
9/24/2022,0.8,0,-,6.5
9/25/2022,5.9,1.1,-,18.3
9/26/2022,3.9,1.4,-,5.6
9/27/2022,7.5,1.4,-,7.6
9/28/2022,3.4,3,-,10.9
9/29/2022,11.8,2.8,-,16.4
9/30/2022,2,3.3,-,16.7
10/1/2022,8.6,1.8,-,13.1
10/2/2022,8.6,1,-,16.1
