report_date,channel, spend 
3/11/2023,referral,2600.00
3/11/2023,snapchat, $-   
3/11/2023,tiktok, $-   
3/12/2023,apple brand search,2060.00
3/12/2023,google brand search,584.00
3/12/2023,growth-promo,200.00
3/12/2023,impact radius,1500.00
3/12/2023,influencer,3703.00
3/12/2023,referral,1400.00
3/12/2023,snapchat, $-   
3/12/2023,tiktok, $-   
3/13/2023,apple brand search,2186.00
3/13/2023,google brand search,784.00
3/13/2023,growth-promo,50.00
3/13/2023,impact radius,2325.00
3/13/2023,influencer,3041.00
3/13/2023,referral,700.00
3/13/2023,snapchat, $-   
3/13/2023,tiktok, $-   
3/14/2023,apple brand search,2259.00
3/14/2023,google brand search,776.00
3/14/2023,impact radius,2660.00
3/14/2023,influencer,1858.00
3/14/2023,snapchat, $-   
3/14/2023,tiktok, $-   
3/15/2023,apple brand search,2199.00
3/15/2023,google brand search,764.00
3/15/2023,growth-promo,50.00
3/15/2023,impact radius,2955.00
3/15/2023,influencer,1242.00
3/15/2023,referral,500.00
3/15/2023,snapchat, $-   
3/15/2023,tiktok, $-   
3/16/2023,apple brand search,2224.00
3/16/2023,google brand search,813.00
3/16/2023,growth-promo,300.00
3/16/2023,impact radius,2535.00
3/16/2023,influencer,874.00
3/16/2023,referral,8000.00
3/16/2023,snapchat, $-   
3/16/2023,tiktok, $-   
3/17/2023,apple brand search,1193.00
3/17/2023,google brand search,704.00
3/17/2023,growth-promo,250.00
3/17/2023,impact radius,2195.00
3/17/2023,influencer,652.00
3/17/2023,referral,5800.00
3/17/2023,snapchat, $-   
3/17/2023,tiktok, $-   
3/18/2023,apple brand search,2366.00
3/18/2023,google brand search,707.00
3/18/2023,growth-promo,200.00
3/18/2023,impact radius,2130.00
3/18/2023,influencer,772.00
3/18/2023,referral,2700.00
3/18/2023,snapchat, $-   
3/18/2023,tiktok, $-   
3/19/2023,apple brand search,1881.00
3/19/2023,google brand search,696.00
3/19/2023,growth-promo,100.00
3/19/2023,impact radius,950.00
3/19/2023,influencer,358.00
3/19/2023,referral,1500.00
3/19/2023,snapchat, $-   
3/19/2023,tiktok, $-   
3/20/2023,apple brand search,2380.00
3/20/2023,google brand search,737.00
3/20/2023,impact radius,1905.00
3/20/2023,influencer,362.00
3/20/2023,snapchat, $-   
3/20/2023,tiktok, $-   
3/21/2023,apple brand search,2024.00
3/21/2023,google brand search,703.00
3/21/2023,growth-promo,150.00
3/21/2023,impact radius,2475.00
3/21/2023,influencer,59.00
3/21/2023,referral,500.00
3/21/2023,snapchat, $-   
3/21/2023,tiktok, $-   
3/22/2023,apple brand search,2171.00
3/22/2023,google brand search,765.00
3/22/2023,impact radius,2971.00
3/22/2023,influencer,99.00
3/22/2023,referral,1400.00
3/22/2023,snapchat, $-   
3/22/2023,tiktok, $-   
3/23/2023,apple brand search,1800.00
3/23/2023,google brand search,750.00
3/23/2023,growth-promo,150.00
3/23/2023,impact radius,1560.00
3/23/2023,influencer,81.00
